CompN,EM,nuM,EF,nuF,Vf,E1,E2,E3,v12,v23,G12,G13,G23 
0,2.124939064139561,0.3666667055917776,324.474071260872,0.1622130888528349,0.1002908408023108,34.465831212815,2.8698339239258,2.8674332877795,0.34091546324326,0.54955554882441,1.9122650322035,1.9077840942653,1.8520869648689
1,4.593747116759364,0.3992941713736678,521.9484885357796,0.1650444008749552,0.1004080587504246,56.575424666296,6.3904737355478,6.3831175423125,0.37094069797841,0.62311906079618,4.0508854627804,4.0282822670194,3.9430401138807
2,2.7139778882046297,0.3962409538518608,92.97193954660824,0.226124544316285,0.1007258198509279,11.816174799722,3.6304997682847,3.6490181983611,0.37699423851639,0.56620643064964,2.3615308224064,2.3884546397547,2.3136432351068
3,2.844782576443888,0.3740030666089766,446.0788783693372,0.3384803516535277,0.1008039828113329,47.524988498891,3.8592285062449,3.8666475109379,0.36966009352936,0.56506502584903,2.5382442748404,2.5466925023392,2.4717486921854
4,2.307778294633796,0.3869805427133619,65.3342450024904,0.3344013701124976,0.1011188522520808,8.6817854503111,3.0184662561111,3.0254110601876,0.38076521307787,0.53523109187939,2.0147351726496,2.0245493459564,1.9744760236367
5,3.928871269339602,0.3951320847662649,939.3462785145718,0.2850755878346542,0.101198675838096,98.598108058218,5.5033517080592,5.4907163441494,0.38154653869285,0.62405931294867,3.4711928942988,3.4490555367167,3.3661989342695
6,4.318665138644031,0.3727505365021127,557.377469051358,0.3281655593776967,0.1012818128444245,60.334534136507,5.8465878120282,5.8702000129496,0.36736094045858,0.55749797519171,3.8498250604712,3.8838421738943,3.7427034454632
7,3.610051028933079,0.3639002832399643,870.4180749409626,0.2630148354445092,0.1013406797056014,91.458157017878,4.9266659083991,4.8913658970183,0.3502731369712,0.54807778641871,3.2966891425931,3.2439585839575,3.1551031139223
8,2.164756123858054,0.3657462736684503,931.6685841482762,0.1831104110950315,0.1014125991210307,96.438198254477,2.9509503828802,2.9409423157002,0.34193952614377,0.55778731891652,1.964341669868,1.9462407651978,1.8951713299495
9,3.513659013325558,0.3796311243139597,814.2958694618795,0.1546460205405248,0.1014709035853344,85.809050196369,4.8095581424809,4.8193047403676,0.352167093921,0.58641307989211,3.132461361647,3.1454034226718,3.0608653505026
10,4.954110581586507,0.3801381270997966,510.613239858675,0.2381250935133699,0.1015104178904748,56.297339810935,6.770303927078,6.7728076499299,0.36263160153829,0.57090954593489,4.4102754935174,4.4070359907882,4.2697921861879
11,2.8595603504379,0.3999190281529208,491.9286826018453,0.288382379745962,0.101669882330011,52.588277276906,4.0085661178341,4.0032158378723,0.38615460163753,0.63237868795845,2.5296363615516,2.5230356863071,2.4699972762494
12,3.949187431739521,0.3993195146734132,593.1012418374092,0.240275801975286,0.1017468788409752,63.90724820101,5.535488313029,5.5331323818114,0.38001062087992,0.62725135258124,3.4793608514641,3.4721340423786,3.383239682382
13,3.542570909637339,0.3621973850862016,764.3386357329953,0.316068229191487,0.1019240697694239,81.087018952905,4.7889576565492,4.8227500018779,0.35658548679288,0.53884222384489,3.1879870211719,3.2364788845918,3.0975407425437
14,1.6488037885366384,0.3646110981365956,912.9520933935436,0.1880839408171598,0.1020547763866444,94.658885443572,2.2456203071634,2.2479797062589,0.3421247530624,0.55506485909682,1.4935617283402,1.4959098090277,1.4465965619853
15,3.6438017007609687,0.3692485512790923,599.8687456462925,0.15268932271987,0.1023898397725927,64.715521090268,4.9314741334301,4.9375202409524,0.34188790133318,0.55799837952848,3.2831029597389,3.294246235648,3.2076333099732
16,3.817192894954484,0.369502735425779,771.8293982615119,0.2334389011645306,0.1025501470559523,82.586705384607,5.1904241957887,5.1774697458472,0.35182928876018,0.56096230389381,3.4476903211224,3.4322282571467,3.3502526703497
17,4.420539953810158,0.3648618776357474,367.1822774708229,0.2327545369999974,0.1027274705650843,41.696886735023,5.9221697585617,5.9188030318736,0.34786940444648,0.5336193284433,3.9909119007107,3.9852860666495,3.8715008668692
18,4.429716567732763,0.3909802638067164,124.27157667441467,0.2687919675471912,0.1029444065497219,16.775931824404,5.8555745507743,5.8726361482463,0.37645678961095,0.54463541193108,3.8759733416473,3.9000548898386,3.7873985924457
19,4.148327406336859,0.3659293136934397,378.5622094017692,0.3484672851151024,0.1030806929501411,42.743282681542,5.5817094081054,5.5720785133921,0.36364593477455,0.53628927169204,3.7529763930766,3.7413503472107,3.6319186979604
20,2.3879223914858034,0.3612718359155645,161.54708192217106,0.1666407001249745,0.1032978909368819,18.84169848687,3.1806642704484,3.1899134073823,0.33659805888096,0.52056673448056,2.1571495742882,2.1725843305322,2.0946772136437
21,3.242591207430874,0.3951362673118054,204.7771419213989,0.1815667791402852,0.1034726628806592,24.117026313849,4.4662923432787,4.4619129414598,0.36849681843437,0.59487281506886,2.8725743439611,2.8675277649605,2.7915680554849
22,4.376439348171617,0.3668700026882498,805.6006258365509,0.2752582349202061,0.1037917892755218,87.542235962571,5.9398409211754,5.9601702446699,0.35525504440686,0.55102586631171,3.9592652837584,3.9877754707164,3.8647780330281
23,2.535547958497012,0.3916000111177208,192.2739162332724,0.3103593866297914,0.1039354907390009,22.258454403984,3.4770181455506,3.4795326567133,0.381528200453,0.59098592012331,2.2467836538427,2.2514749899459,2.1970661818289
24,3.158413021203593,0.3808752116581173,918.7184238680824,0.2119359373224225,0.1039756831154692,98.366925167358,4.370100593474,4.3764053912557,0.35968962942962,0.58997222602566,2.8269695019827,2.8370783016084,2.7491282513857
25,3.782121058871061,0.3957738503528216,965.6171597904156,0.3265772887724268,0.1040539705947141,103.86728911716,5.3187223983027,5.3144403692188,0.38709483392147,0.62649582285501,3.3598227273029,3.3527686145494,3.2730464449756
26,2.153936017277175,0.3839270882142681,517.8487434413441,0.3060845675461513,0.1042783843707435,55.931529410658,2.9778822829953,2.9752876332046,0.3740097361588,0.59714930885351,1.9268823158808,1.9227071980967,1.8793598044132
27,1.093700182939035,0.3750351953323682,389.882100612876,0.2838682844726993,0.1051776611560098,41.986777016072,1.5134054299935,1.5110949465065,0.36309425448149,0.57695432452093,0.98803451259401,0.98535476097272,0.9557522332987
28,1.6317392349382298,0.3845709069755471,789.6982843514311,0.2108036222221594,0.1052326568389443,84.568834207183,2.2750898776487,2.2775981540499,0.36262896215254,0.60328494189985,1.4595824093144,1.4641331066049,1.4217039794918
29,3.997623278063896,0.3994554536880295,723.0937275637285,0.1782217200306501,0.1055237418430281,79.907047020692,5.6460172758302,5.6480376190363,0.37185439554511,0.63185520799992,3.5459062089985,3.5474482218915,3.4523061031779
30,2.2903019946184555,0.3834440079934334,225.74287516040823,0.1657160191669599,0.1057815568373393,25.942724966114,3.1632207874456,3.1615198262137,0.3554635436022,0.57959931371006,2.0526875045173,2.0491009764307,1.9864754260006
31,1.2618288666842177,0.3732501412738899,113.04941065982106,0.2218369277675744,0.1059505353296549,13.10989346411,1.7139858436096,1.7117534705944,0.35328715097621,0.55546888770114,1.1411101085784,1.1379707046587,1.108226903696
32,1.4350205687398332,0.3895523797893739,468.8987657577584,0.2779845254125718,0.1060672013542394,51.020145387669,2.0283126328095,2.0233320704998,0.37493249797887,0.61149264511932,1.2907704199955,1.2818367627138,1.2429170197383
33,1.627355533844255,0.398977512856439,596.7228799214,0.1803371207043076,0.1061269581239446,64.794636349581,2.3169898473376,2.3274184888501,0.37238432975641,0.63627085656223,1.4452235016185,1.462286684049,1.4119591951056
34,2.794981830320637,0.3706924433045566,927.196585958103,0.2526060556288458,0.1062405023702019,101.00951436769,3.8526006220921,3.8572599313237,0.35523752258135,0.56537060184679,2.5364787225686,2.5469435532614,2.4604982639586
35,4.241276712737502,0.3787740363336668,937.0369372921352,0.2459731878665136,0.1068455942125072,103.91702986661,5.8791329167851,5.8913461746616,0.36171635919117,0.58083859584451,3.8195226209944,3.8374780897435,3.7066873225294
36,2.674409656718635,0.390069224018359,574.4115788564554,0.1670477857751821,0.1072369827326234,64.005292596588,3.758396954307,3.7669140155187,0.36178564703277,0.60897865963664,2.3960767723797,2.4066792499066,2.3314989048337
37,3.556292548743764,0.3866039695223378,128.9851164713693,0.1776224464575019,0.1073993222254725,17.049328326148,4.8160008679635,4.7974736570568,0.3588788966676,0.5539263339686,3.1840315931339,3.1530974059553,3.0727279251127
38,4.438631462224649,0.3893724465271028,620.7619052616857,0.2842830923055035,0.1075428610172552,70.726968320999,6.1874908871817,6.2014417670509,0.37598881374025,0.60062465474557,3.9785344889834,3.9953302071371,3.885369341485
39,2.7686802045019747,0.3972763951314936,969.7424372112056,0.2175578971642168,0.1077280926257659,106.95169740761,3.9319339505254,3.9389812298899,0.37459600671098,0.63311120119087,2.4672700249556,2.481160562439,2.4055691320738
